اَنوشا	جاویدانبرگشتبهلیست
وسمه	مادهرنگیایکهازنوعیگیاهبهدستمی‌آید.
وسیم	داراینشانزیبایی،خوشسیما،زیبا
وسیمه	مؤنثوسیم،داراینشانزیبایی،زیبا
وش	خواستن
وشان	افشان،کاشتن،تکانشدید
وشن	خوباست.
وفا	وفاداری
ولان	مکانیکهگلزردبسیارداشتهباشد.
وناز	باوقار،متین
وندا	ستایشکننده
وندا	زنودخترباسواد
ونوس	سمبلزیباییوعشقدریونانباستان
ونوشه	درگویشمازندرانگلبنفشه
وهآفرید	(وه=خوب)آفریدهخوب
وهآفرین	آفرینندهخوبیاآفرینندهخوبی
وهنوش	بهنوش،مرکبازبه(بهتریاخوب)+نوش(عسل)
وهان	جمعخوبان،بهان(وه=خوب)
وهرو	خوبروی
وهشتیه	نامشهبانویخشایارشاه
وهوگون	خوشبو،معطر،خوشرنگ
ویان	دلربا،علاقه،محبت،عشق
ویانا	فرزانگی،بخردی،دانایی
ویدا	آشکاروهویدا
ویرا	ویشکا-ویدا–ویستا
ویرو	نامپهلوانوسپهداریدرمنظومهویسورامین
ویس	معشوقهرامیندردورهشاهنشاهیاشکانیان
ویستا	دانشوفرهنگ،برخوردار
ویشکا	نامروستایینزدیکرشت
ویکتوریا	پیروزشدن،الههپیروزیدررومباستان
وینا	رنگارنگ،همچنینروشنوآشکار
ویوگ	عروس
ویونا	منسوببهوَیو،(بهمجاز)عروس،دختریکهعروسشده،نامروستاییدرنزدیکیکاشان

هُووی	نامزناشوزرتشت,دخترفرشوشتربرگشتبهلیست
هاجر	معربازعبری؛بهمعنیمهاجرتکننده،فرارکننده.همچنیناسممادراسماعیلوهمسرحضرتابراهیم(ع)
هارا	کوهستان
هاله	معربازیونانیبهمعنایحلقهنورانیسفیدیارنگیکهگاهدورماهیاخورشیددیدهمی‌شود.
هانا	دادخواهی،امید،بینایی
هانه	چشمه
هانیا	مؤنثهانی،مادرمهربانودلسوز
هانیه	شادمانخوشبخت
هایده	توبهکننده،بهحقبازگردنده
هدا	هدی،هدایتکردن،هدایت،راهنمایی،راهدرستومسیردرست
هدسه	همسریهودیخشایارشاهکهبعداًاسترنامگرفت،محلدفناووداییش(مردخای)جزءآثارباستانیهمداناست.
هدی	هدایتشده
هدی	هدایتکردن،راهنمایی،هدایت،راهدرست،مسیردرست
هدیه	تحفهایکهبهنشانهمحبتبهکسیدادهمیشود
هدیه	ارمغان،تحفه
هرانوش	دخترآتش،دختریبارویبرافروخته،کنایهازدخترزیباروی
هستنوه	قیامتودهمردم
هستی	زندگی،وجود،زندگانی
هفدن	وزنشعر
هفیان	آرامگرفتن
هگبه	رهآورد،هدیهسفر،خورجین
هلاله	گلیزردرنگخوشبو،آلاله،جارزدن،باخبرساختن
هلپرین	رقصیدن
هلما	معنیاسمرادراینقسمتبنویسیدخیلیصبور
هلن	فرانسهازیونانیروشنایی،نور،دراساطیریونانهمسرمنلاسپادشاهاسپارتکهجنگتروابهخاطراورویداد.
هلناز	زیباوخوشبو
هلناز	زیبارووخوشبو،بهشکوفهدرختهلنیزمی‌گویند
هلنسا	زنانمعطر
هلیا	خورشید
هلیله	نامدرختیاست
هلینا	هلن،فرانسهازیونانیروشنایی،نور،دراساطیریونانهمسرمنلاسپادشاهاسپارتکهجنگتروابهخاطراورویداد.
هلیون	هلیوس،خورشید
هما	مرغخوشپروازومایهسلامت،ازشخصیت‌هایشاهنامه
هماچهر	آنکهچهره‌ایچونهمادارد،خوشسیما
همافر	دارایشکوههمایی
همایون	فرخ،شادان
همتا	همانند
همتا	نظیر،مانند
همدم	همنشین
همراز	محرماسرار
همساز	ازنامهایبرگزیده
همگام	همراه،همسفر
هموند	اعضاء
همیلا	نامیکیازندیمههایشیریندرخسرووشیریننظامی
همیلا	نامندیمهشیرینهمسرخسروپرویزپادشاهساسانی
هنا	شادمانیوخوشبختی
هنار	انار
هناو	زهره،شجاعت
هنگامه	فوقالعاده،شگفتانگیز،عالی،فتنه،آشوب
هنیا	بهفتحه،گواراباد،نوشباد
هوآفرید	خوشستوده،خوشآمرزیده
هوبخت	خوشبخت
هوپاد	(اسمدختروپسر)نگهبانخوب،نیکسرشت
هوتس	(بهضمت)آتوسا،نامدخترکوروشپادشاههخامنشی،همسرداریوشومادرخشایارشا
هوتوس	آتوسا،نامدخترکوروشپادشاههخامنشی،همسرداریوشومادرخشایارشا
هوداد	ازنامهایبرگزیده
هوده	راست،درست
هور	خور،خورشید،ازشخصیتهایشاهنامه،نامداناییپرهیزکاردرزمانبهرامگورپادشاهساسانی
هورام	پیروخوبی،انسانشادوخندهرو،هنگامطلوعآفتاب،‌مرتفع
هوران	آفتاب
هورآفرین	آفرینندهخورشید
هوربانو	زیباهمچونخورشید
هورتاش	هور(فارسی)+تاش(ترکی)آنکهچونخورشیدنورانیاست.
هورتن	آنکهتنوبدنیپاکودرخشانچونخورشیددارد.
هورچهر	آنکهچهرهوسیماییدرخشانونورانیچونخورشیددارد.
هورخش	آفتابعالمتاب
هورداد	داده‌یخورشید،تابندهوپرحرارت
هوردخت	دختریزیباچونخورشید
هوردیس	زیباوروشنچونخورشید
هوررخ	هورچهر
هورزاد	زادهخورشید،خوبزاده،اصیل،شریف
هورسان	مانندخورشید
هورشاد	مرکبازهور(خورشید)+شاد
هورشید	خورشید،آفتاب
هورفَر	دارایفروشکوهمانندخورشید
هورمهر	مهربانهمانندخورشید
هورناز	خورشیدزیبا
هوروَش	زیباوتابناکهمچونخورشید
هوروش	درخشانوزیباچونخورشید
هوری	نورخورشید
هوزاد	خوبزاده،اصیل
هوزان	نرگسنوشکفتهونیکدان
هوژان	یادگرفتن
هوژین	آموختن
هوشبام	سپیدهدم
هوفر	نامخواهریوئشتا
هوگون	خوبگون،خوشرنگ،ممتاز
هوما	مرغسعادت،فرخنده
هومان	خودمان
هومهر	دوست،یار
هوناز	ویژگیآن‌کهداراینازوکرشمهخوبونیکاست،جذابودلپسند
هونراوه	کنایهازکلاممنظوم
هونیا	داراینیایخوب
هووَرشت	نیکوکار
هویار	یارخوبوخوش
هیدیکا	آرام،بهآهستگی،یواش
هیران	قرار
هیزان	نیرومند،توانا
هیژان	ارزیدن،جنبیدن
هیلا	پرندهایکوچکترازباز
هیلا	پرنده‌ایشکاریکوچکترازبازراگویند.
هیلان	آشیانه،مکانآرامش
هیلدا	نیرومند،قوی
هیما	بانویعاشق
هیمو	پاکدامن
هینا	ماهر
هینان	آوردن
هیوان	ایوان،تراس

یَسنا	پرستش،ازبخش‌هایاوستابرگشتبهلیست
یارگل	دوستیکههمانندگلزیباست.
یارناز	دوستزیبا
یارنوش	دوستویاریکهچونعسلشیرینودلنشیناست.
یاس	گلیزینتیبارنگهایسفید،زرد،سرخوبنفشوبسیارخوشبو،گلمنسوببهحضرتزهرا(س)
یاسرخ	آنکهچهرهایچونگلیاسدارد
یاسگل	آنکهمانندگلیاسخوشچهرهوزیباست
یاسمن	گلیزینتیباگل‌هایدرشتومعطر،بهرنگهایسفید،صورتی،زردوقرمز
یاسمین	پهلوییاسمن–نوعیگل-دختریدرویسورامین
یاسمین	گلیاسمن
یاسمینا	یاسومیناگلیبهرنگهایسفید،زردوکبود
یاشیل	سبزکبود،سبزچمنی،کبود
یافا	زیبایی،جمال،نامشهریقدیمیدرساحلمدیترانه
یامین	لقبراحیل،همسرحضرتیعقوب(مادربنیامینویوسف)
یانا	نیکیرسان،نیکوییبخش
یرحا	ناممادرحضرتموسی(ع)
یسری	راحتی،آسانی،گشایش،دخترخوشقدم(یسرا)
یسنا	پرستش،بخشیازاوستا
یغما	غارت،تاراج،غنیمت،نامشهریدرترکستانکهمردمانزیبارویوصاحبجمالدارد.
یغماناز	ازترکیبیغما(ترکی)+ناز(فارسی)یغما،نامدخترپادشاهچینوهمسربهرامگورپادشاهساسانی
یکتا	یگانه،بینظیر،تنها
یکمال	ثروتتقسیمنشده،دوستجان‏جانی(بسیارصمیمی)
یکیتی	اتحاد،همبستگی
یگانه	صمیمی،همدل،یکرنگ،بیهمتا،بینظیر،تنهاومنحصربهفرد
یلدا	آخرینشبپائیزدرنیمکرهشمالیوبلندترینشبسالکههمزمانبامیلادمسیح(ع)است.
یلدوز	اولدوز،ستاره
یوتاب	نامخواهرآریوبرزنپادشاهآذربادگان
یوکابد	جلالخداوند،خداوندمجدوبزرگیاست،ناممادرموسی(ع)
